Computer, Online, Office, IP Address
devin-ThinkPad-T480s,True,localhost,127.0.1.1
ijfdaljfslkjfdlkjfda,False,N/A,N/A
jfdalsfdlkjfdsa,False,N/A,N/A
dkfjlafkjdkjfda,False,N/A,N/A
dkjsalfjalfd,False,N/A,N/A
fdijaosfj,False,N/A,N/A
dfalkjdsajflsaljf,False,N/A,N/A
google.com,True,Other,172.217.14.110
192.168.0.67,True,Local IP Address,192.168.0.67
youtube.com,True,Other,172.217.14.110
en.wikipedia.org,True,Other,198.35.26.96
twitter.com,True,Other,104.244.42.1
facebook.com,True,Other,31.13.70.36
amazon.com,True,Other,176.32.103.205
yelp.com,True,Other,104.16.56.23
devin-ThinkPad-T480s,True,localhost,127.0.1.1
devin-ThinkPad-T480s,True,localhost,127.0.1.1
devin-ThinkPad-T480s,True,localhost,127.0.1.1
devin-ThinkPad-T480s,True,localhost,127.0.1.1
